STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6310210,Mobile Programming,Major Elective Course,Specific Required Course
6310210,English 2,Language Course,General Education Course 
6310210,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310210,Spa Therapy,Major Elective Course,Major Elective Course
6310210,Web Design and Development,Major Elective Course,Specific Required Course
6310210,Senior Project 2,Major Required Course,Specific Required Course
6310210,Management Information Systems,Major Required Course,Specific Required Course
6310210,Object-Oriented Programming,Core Course,Specific Required Course
6310210,English 3,Language Course,General Education Course 
6310210,General Psychology,Major Elective Course,Major Elective Course
6310210,Senior Project 2,Major Required Course,Specific Required Course
6310210,Co-operative Education,Major Required Course,Specific Required Course
6310310,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310310,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310310,Thai Language Skills,Language Course,General Education Course 
6310310,Computer Programming,Core Course,Specific Required Course
6310310,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310310,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310310,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310310,Object-Oriented Programming,Core Course,Specific Required Course
6310310,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310310,Intensive English,Major Elective Course,Major Elective Course
6310310,Human and Computer Interaction,Core Course,Specific Required Course
6310310,Science for Life,Science and Mathematics Course,General Education Course 
6310310,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310310,Probability and Statistics,Core Course,Specific Required Course
6310310,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310310,Data Communications and Networks,Major Required Course,Specific Required Course
6310310,Introduction to Economics,Social Science Course,General Education Course 
6310310,Industrial Management,Major Required Course,Specific Required Course
6310310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310310,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310310,Database Systems,Major Required Course,Specific Required Course
6310310,Organization and Management,Social Science Course,General Education Course 
6310310,System Analysis and Design,Major Required Course,Specific Required Course
6310310,Management Information Systems,Major Required Course,Specific Required Course
6310310,Information Technology Project Management,Major Required Course,Specific Required Course
6310310,Web Programming,Core Course,Specific Required Course
6310310,Seminar,Major Required Course,Specific Required Course
6310310,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310310,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310310,Information Technology Service Management,Major Required Course,Specific Required Course
6310310,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310310,English 2,Language Course,General Education Course 
6310310,Senior Project 1,Major Required Course,Specific Required Course
6310310,Information Security,Core Course,Specific Required Course
6310310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310310,Senior Project 2,Major Required Course,Specific Required Course
6310310,Mobile Programming,Major Elective Course,Specific Required Course
6310310,ASEAN Studies,Social Science Course,General Education Course 
6310310,Digital Marketing,Major Required Course,Specific Required Course
6310310,Fundamentals of Natural Resources and Environmental Management,Major Elective Course,Major Elective Course
6310310,Web Design and Development,Major Elective Course,Specific Required Course
6310310,System Analysis and Design,Major Required Course,Specific Required Course
6310310,General Psychology,Major Elective Course,Major Elective Course
6310310,Business Information System Design,Major Required Course,Specific Required Course
6310310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310310,English 3,Language Course,General Education Course 
6310310,Co-operative Education,Major Required Course,Specific Required Course
6310410,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310410,Intensive English,Major Elective Course,Major Elective Course
6310410,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310410,Thai Language Skills,Language Course,General Education Course 
6310410,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310410,Computer Programming,Core Course,Specific Required Course
6310410,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310410,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310410,Human and Computer Interaction,Core Course,Specific Required Course
6310410,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310410,Object-Oriented Programming,Core Course,Specific Required Course
6310410,Introduction to Economics,Social Science Course,General Education Course 
6310410,English 2,Language Course,General Education Course 
6310410,Data Communications and Networks,Major Required Course,Specific Required Course
6310410,Probability and Statistics,Core Course,Specific Required Course
6310410,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310410,Science for Life,Science and Mathematics Course,General Education Course 
6310410,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310410,ASEAN Studies,Social Science Course,General Education Course 
6310410,Organization and Management,Social Science Course,General Education Course 
6310410,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310410,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310410,Industrial Management,Major Required Course,Specific Required Course
6310410,Database Systems,Major Required Course,Specific Required Course
6310410,English 2,Language Course,General Education Course 
6310410,Seminar,Major Required Course,Specific Required Course
6310410,Management Information Systems,Major Required Course,Specific Required Course
6310410,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310410,Information Technology Project Management,Major Required Course,Specific Required Course
6310410,Web Programming,Core Course,Specific Required Course
6310410,System Analysis and Design,Major Required Course,Specific Required Course
6310410,Information Security,Core Course,Specific Required Course
6310410,Information Technology Service Management,Major Required Course,Specific Required Course
6310410,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310410,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310410,Senior Project 1,Major Required Course,Specific Required Course
6310410,Business Information System Design,Major Required Course,Specific Required Course
6310410,Thai Wisdom,Major Elective Course,Major Elective Course
6310410,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310410,Senior Project 2,Major Required Course,Specific Required Course
6310410,Digital Marketing,Major Required Course,Specific Required Course
6310410,Information Technology Project Management,Major Required Course,Specific Required Course
6310410,Web Design and Development,Major Elective Course,Specific Required Course
6310410,English 3,Language Course,General Education Course 
6310410,Co-operative Education,Major Required Course,Specific Required Course
6310610,Thai Language Skills,Language Course,General Education Course 
6310610,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310610,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310610,Computer Programming,Core Course,Specific Required Course
6310610,Intensive English,Major Elective Course,Major Elective Course
6310610,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310610,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310610,Human and Computer Interaction,Core Course,Specific Required Course
6310610,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310610,Object-Oriented Programming,Core Course,Specific Required Course
6310610,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310610,Science for Life,Science and Mathematics Course,General Education Course 
6310610,Introduction to Economics,Social Science Course,General Education Course 
6310610,Data Communications and Networks,Major Required Course,Specific Required Course
6310610,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310610,Probability and Statistics,Core Course,Specific Required Course
6310610,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310610,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310610,ASEAN Studies,Social Science Course,General Education Course 
6310610,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310610,Database Systems,Major Required Course,Specific Required Course
6310610,Industrial Management,Major Required Course,Specific Required Course
6310610,Organization and Management,Social Science Course,General Education Course 
6310610,Information Technology Project Management,Major Required Course,Specific Required Course
6310610,Management Information Systems,Major Required Course,Specific Required Course
6310610,System Analysis and Design,Major Required Course,Specific Required Course
6310610,English 2,Language Course,General Education Course 
6310610,Seminar,Major Required Course,Specific Required Course
6310610,Web Programming,Core Course,Specific Required Course
6310610,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310610,Information Technology Service Management,Major Required Course,Specific Required Course
6310610,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310610,Information Security,Core Course,Specific Required Course
6310610,Myanmar Conversation 1,Major Elective Course,Major Elective Course
6310610,Business Information System Design,Major Required Course,Specific Required Course
6310610,Senior Project 1,Major Required Course,Specific Required Course
6310610,Web Design and Development,Major Elective Course,Specific Required Course
6310610,Mobile Programming,Major Elective Course,Specific Required Course
6310610,Digital Marketing,Major Required Course,Specific Required Course
6310610,English 3,Language Course,General Education Course 
6310610,Spa Therapy,Major Elective Course,Major Elective Course
6310610,Senior Project 2,Major Required Course,Specific Required Course
6310610,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310610,Co-operative Education,Major Required Course,Specific Required Course
6310710,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310710,Computer Programming,Core Course,Specific Required Course
6310710,Thai Language Skills,Language Course,General Education Course 
6310710,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310710,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310710,Intensive English,Major Elective Course,Major Elective Course
6310710,Human and Computer Interaction,Core Course,Specific Required Course
6310710,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310710,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310710,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310710,Object-Oriented Programming,Core Course,Specific Required Course
6310710,Introduction to Economics,Social Science Course,General Education Course 
6310710,English 2,Language Course,General Education Course 
6310710,Probability and Statistics,Core Course,Specific Required Course
6310710,Data Communications and Networks,Major Required Course,Specific Required Course
6310710,Science for Life,Science and Mathematics Course,General Education Course 
6310710,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310710,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310710,Industrial Management,Major Required Course,Specific Required Course
6310710,ASEAN Studies,Social Science Course,General Education Course 
6310710,Organization and Management,Social Science Course,General Education Course 
6310710,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310710,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310710,Database Systems,Major Required Course,Specific Required Course
6310710,English 2,Language Course,General Education Course 
6310710,Web Programming,Core Course,Specific Required Course
6310710,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310710,Management Information Systems,Major Required Course,Specific Required Course
6310710,Information Technology Project Management,Major Required Course,Specific Required Course
6310710,Seminar,Major Required Course,Specific Required Course
6310710,System Analysis and Design,Major Required Course,Specific Required Course
6310710,Business Information System Design,Major Required Course,Specific Required Course
6310710,Senior Project 1,Major Required Course,Specific Required Course
6310710,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310710,Information Technology Service Management,Major Required Course,Specific Required Course
6310710,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310710,Information Security,Core Course,Specific Required Course
6310710,Senior Project 2,Major Required Course,Specific Required Course
6310710,English 3,Language Course,General Education Course 
6310710,Thai Wisdom,Major Elective Course,Major Elective Course
6310710,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310710,Web Design and Development,Major Elective Course,Specific Required Course
6310710,Digital Marketing,Major Required Course,Specific Required Course
6310710,Co-operative Education,Major Required Course,Specific Required Course
6310810,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310810,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310810,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310810,Thai Language Skills,Language Course,General Education Course 
6310810,Computer Programming,Core Course,Specific Required Course
6310810,Intensive English,Major Elective Course,Major Elective Course
6310810,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310810,Human and Computer Interaction,Core Course,Specific Required Course
6310810,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310810,Object-Oriented Programming,Core Course,Specific Required Course
6310810,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310810,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310810,English 2,Language Course,General Education Course 
6310810,Introduction to Economics,Social Science Course,General Education Course 
6310810,Science for Life,Science and Mathematics Course,General Education Course 
6310810,Probability and Statistics,Core Course,Specific Required Course
6310810,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310810,Data Communications and Networks,Major Required Course,Specific Required Course
6310810,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310810,Organization and Management,Social Science Course,General Education Course 
6310810,Industrial Management,Major Required Course,Specific Required Course
6310810,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310810,Database Systems,Major Required Course,Specific Required Course
6310810,ASEAN Studies,Social Science Course,General Education Course 
6310810,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310810,Information Technology Project Management,Major Required Course,Specific Required Course
6310810,Seminar,Major Required Course,Specific Required Course
6310810,System Analysis and Design,Major Required Course,Specific Required Course
6310810,English 3,Language Course,General Education Course 
6310810,Management Information Systems,Major Required Course,Specific Required Course
6310810,Web Programming,Core Course,Specific Required Course
6310810,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310810,Senior Project 1,Major Required Course,Specific Required Course
6310810,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310810,Information Security,Core Course,Specific Required Course
6310810,Information Technology Service Management,Major Required Course,Specific Required Course
6310810,Business Information System Design,Major Required Course,Specific Required Course
6310810,Senior Project 2,Major Required Course,Specific Required Course
6310810,Digital Marketing,Major Required Course,Specific Required Course
6310810,Entomology and Health,Major Elective Course,Major Elective Course
6310810,Mobile Programming,Major Elective Course,Specific Required Course
6310810,Web Design and Development,Major Elective Course,Specific Required Course
6310810,Co-operative Education,Major Required Course,Specific Required Course
6311010,Intensive English,Major Elective Course,Major Elective Course
6311010,Thai Language Skills,Language Course,General Education Course 
6311010,Mathematics for Information Technology 1,Core Course,Specific Required Course
6311010,Computer Programming,Core Course,Specific Required Course
6311010,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311010,Information Technology Workshop 1,Major Required Course,Specific Required Course
6311010,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6311010,Human and Computer Interaction,Core Course,Specific Required Course
6311010,Mathematics for Information Technology 2,Core Course,Specific Required Course
6311010,Object-Oriented Programming,Core Course,Specific Required Course
6311010,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6311010,Probability and Statistics,Core Course,Specific Required Course
6311010,Data Communications and Networks,Major Required Course,Specific Required Course
6311010,English 2,Language Course,General Education Course 
6311010,Introduction to Economics,Social Science Course,General Education Course 
6311010,Science for Life,Science and Mathematics Course,General Education Course 
6311010,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6311010,Information Technology Workshop 2,Major Required Course,Specific Required Course
6311010,ASEAN Studies,Social Science Course,General Education Course 
6311010,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6311010,Database Systems,Major Required Course,Specific Required Course
6311010,Organization and Management,Social Science Course,General Education Course 
6311010,English 2,Language Course,General Education Course 
6311010,Industrial Management,Major Required Course,Specific Required Course
6311010,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311010,Business Modeling and Simulation,Major Required Course,Specific Required Course
6311010,Management Information Systems,Major Required Course,Specific Required Course
6311010,Information Technology Project Management,Major Required Course,Specific Required Course
6311010,Seminar,Major Required Course,Specific Required Course
6311010,System Analysis and Design,Major Required Course,Specific Required Course
6311010,Web Programming,Core Course,Specific Required Course
6311010,English 3,Language Course,General Education Course 
6311010,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6311010,Senior Project 1,Major Required Course,Specific Required Course
6311010,Principles of Crop Produces,Major Elective Course,Major Elective Course
6311010,Information Security,Core Course,Specific Required Course
6311010,Business Information System Design,Major Required Course,Specific Required Course
6311010,Information Technology Service Management,Major Required Course,Specific Required Course
6311010,Web Design and Development,Major Elective Course,Specific Required Course
6311010,Mobile Programming,Major Elective Course,Specific Required Course
6311010,Senior Project 2,Major Required Course,Specific Required Course
6311010,Digital Marketing,Major Required Course,Specific Required Course
6311010,Plants and People,Major Elective Course,Major Elective Course
6311010,Co-operative Education,Major Required Course,Specific Required Course
6311110,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311110,Computer Programming,Core Course,Specific Required Course
6311110,Mathematics for Information Technology 1,Core Course,Specific Required Course
6311110,Information Technology Workshop 1,Major Required Course,Specific Required Course
6311110,Intensive English,Major Elective Course,Major Elective Course
6311110,Thai Language Skills,Language Course,General Education Course 
6311110,Mathematics for Information Technology 2,Core Course,Specific Required Course
6311110,Object-Oriented Programming,Core Course,Specific Required Course
6311110,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6311110,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6311110,Human and Computer Interaction,Core Course,Specific Required Course
6311110,Introduction to Economics,Social Science Course,General Education Course 
6311110,Probability and Statistics,Core Course,Specific Required Course
6311110,Information Technology Workshop 2,Major Required Course,Specific Required Course
6311110,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6311110,Data Communications and Networks,Major Required Course,Specific Required Course
6311110,Science for Life,Science and Mathematics Course,General Education Course 
6311110,Organization and Management,Social Science Course,General Education Course 
6311110,Database Systems,Major Required Course,Specific Required Course
6311110,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311110,ASEAN Studies,Social Science Course,General Education Course 
6311110,Industrial Management,Major Required Course,Specific Required Course
6311110,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6311110,System Analysis and Design,Major Required Course,Specific Required Course
6311110,English 2,Language Course,General Education Course 
6311110,Web Programming,Core Course,Specific Required Course
6311110,Business Modeling and Simulation,Major Required Course,Specific Required Course
6311110,Management Information Systems,Major Required Course,Specific Required Course
6311110,Information Technology Project Management,Major Required Course,Specific Required Course
6311110,Seminar,Major Required Course,Specific Required Course
6311110,Senior Project 1,Major Required Course,Specific Required Course
6311110,Principles of Crop Produces,Major Elective Course,Major Elective Course
6311110,Information Security,Core Course,Specific Required Course
6311110,Information Technology Service Management,Major Required Course,Specific Required Course
6311110,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6311110,Business Information System Design,Major Required Course,Specific Required Course
6311110,English 2,Language Course,General Education Course 
6311110,Senior Project 2,Major Required Course,Specific Required Course
6311110,Mobile Programming,Major Elective Course,Specific Required Course
6311110,Web Design and Development,Major Elective Course,Specific Required Course
6311110,Thai Wisdom,Major Elective Course,Major Elective Course
6311110,Digital Marketing,Major Required Course,Specific Required Course
6311110,English 3,Language Course,General Education Course 
6311110,Arts of Speech,Major Elective Course,Major Elective Course
6311110,Co-operative Education,Major Required Course,Specific Required Course
6311310,Information Technology Workshop 1,Major Required Course,Specific Required Course
6311310,Thai Language Skills,Language Course,General Education Course 
6311310,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311310,Intensive English,Major Elective Course,Major Elective Course
6311310,Mathematics for Information Technology 1,Core Course,Specific Required Course
6311310,Computer Programming,Core Course,Specific Required Course
6311310,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6311310,Human and Computer Interaction,Core Course,Specific Required Course
6311310,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6311310,Object-Oriented Programming,Core Course,Specific Required Course
6311310,Mathematics for Information Technology 2,Core Course,Specific Required Course
6311310,Organization and Management,Social Science Course,General Education Course 
6311310,Introduction to Economics,Social Science Course,General Education Course 
6311310,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6311310,English 2,Language Course,General Education Course 
6311310,Science for Life,Science and Mathematics Course,General Education Course 
6311310,Probability and Statistics,Core Course,Specific Required Course
6311310,Information Technology Workshop 2,Major Required Course,Specific Required Course
6311310,Data Communications and Networks,Major Required Course,Specific Required Course
6311310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311310,Industrial Management,Major Required Course,Specific Required Course
6311310,ASEAN Studies,Social Science Course,General Education Course 
6311310,English 2,Language Course,General Education Course 
6311310,Database Systems,Major Required Course,Specific Required Course
6311310,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6311310,Seminar,Major Required Course,Specific Required Course
6311310,System Analysis and Design,Major Required Course,Specific Required Course
6311310,English 3,Language Course,General Education Course 
6311310,Basic Korean 1,Major Elective Course,Major Elective Course
6311310,Business Modeling and Simulation,Major Required Course,Specific Required Course
6311310,Web Programming,Core Course,Specific Required Course
6311310,Management Information Systems,Major Required Course,Specific Required Course
6311310,Information Technology Project Management,Major Required Course,Specific Required Course
6311310,Information Security,Core Course,Specific Required Course
6311310,Senior Project 1,Major Required Course,Specific Required Course
6311310,Spanish 1,Major Elective Course,Major Elective Course
6311310,Business Information System Design,Major Required Course,Specific Required Course
6311310,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6311310,Information Technology Service Management,Major Required Course,Specific Required Course
6311310,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6311310,Web Design and Development,Major Elective Course,Specific Required Course
6311310,Senior Project 2,Major Required Course,Specific Required Course
6311310,Digital Marketing,Major Required Course,Specific Required Course
6311310,Co-operative Education,Major Required Course,Specific Required Course
6312310,Basic Information Technology,Science and Mathematics Course,General Education Course 
6312310,Mathematics for Information Technology 1,Core Course,Specific Required Course
6312310,Information Technology Workshop 1,Major Required Course,Specific Required Course
6312310,Thai Language Skills,Language Course,General Education Course 
6312310,Computer Programming,Core Course,Specific Required Course
6312310,Intensive English,Major Elective Course,Major Elective Course
6312310,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6312310,Mathematics for Information Technology 2,Core Course,Specific Required Course
6312310,Human and Computer Interaction,Core Course,Specific Required Course
6312310,Object-Oriented Programming,Core Course,Specific Required Course
6312310,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6312310,Introduction to Economics,Social Science Course,General Education Course 
6312310,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6312310,Probability and Statistics,Core Course,Specific Required Course
6312310,Science for Life,Science and Mathematics Course,General Education Course 
6312310,Information Technology Workshop 2,Major Required Course,Specific Required Course
6312310,Data Communications and Networks,Major Required Course,Specific Required Course
6312310,Database Systems,Major Required Course,Specific Required Course
6312310,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6312310,ASEAN Studies,Social Science Course,General Education Course 
6312310,Organization and Management,Social Science Course,General Education Course 
6312310,English 2,Language Course,General Education Course 
6312310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6312310,Industrial Management,Major Required Course,Specific Required Course
6312310,Business Modeling and Simulation,Major Required Course,Specific Required Course
6312310,Management Information Systems,Major Required Course,Specific Required Course
6312310,System Analysis and Design,Major Required Course,Specific Required Course
6312310,Seminar,Major Required Course,Specific Required Course
6312310,English 2,Language Course,General Education Course 
6312310,Information Technology Project Management,Major Required Course,Specific Required Course
6312310,Web Programming,Core Course,Specific Required Course
6312310,Senior Project 1,Major Required Course,Specific Required Course
6312310,Principles of Crop Produces,Major Elective Course,Major Elective Course
6312310,English 3,Language Course,General Education Course 
6312310,Information Technology Service Management,Major Required Course,Specific Required Course
6312310,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6312310,Business Information System Design,Major Required Course,Specific Required Course
6312310,Information Security,Core Course,Specific Required Course
6312310,Web Design and Development,Major Elective Course,Specific Required Course
6312310,Digital Marketing,Major Required Course,Specific Required Course
6312310,Mobile Programming,Major Elective Course,Specific Required Course
6312310,Senior Project 2,Major Required Course,Specific Required Course
6312310,Thai Wisdom,Major Elective Course,Major Elective Course
6312310,Co-operative Education,Major Required Course,Specific Required Course
6312310,Senior Project 2,Major Required Course,Specific Required Course
6312510,Basic Information Technology,Science and Mathematics Course,General Education Course 
6312510,Intensive English,Major Elective Course,Major Elective Course
6312510,Mathematics for Information Technology 1,Core Course,Specific Required Course
6312510,Information Technology Workshop 1,Major Required Course,Specific Required Course
6312510,Thai Language Skills,Language Course,General Education Course 
6312510,Computer Programming,Core Course,Specific Required Course
6312510,Mathematics for Information Technology 2,Core Course,Specific Required Course
6312510,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6312510,Human and Computer Interaction,Core Course,Specific Required Course
6312510,Object-Oriented Programming,Core Course,Specific Required Course
6312510,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6312510,Introduction to Economics,Social Science Course,General Education Course 
6312510,Organization and Management,Social Science Course,General Education Course 
6312510,Science for Life,Science and Mathematics Course,General Education Course 
6312510,English 2,Language Course,General Education Course 
6312510,Information Technology Workshop 2,Major Required Course,Specific Required Course
6312510,Japanese 1,Major Elective Course,Major Elective Course
6312510,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6312510,Data Communications and Networks,Major Required Course,Specific Required Course
6312510,Probability and Statistics,Core Course,Specific Required Course
6312510,Database Systems,Major Required Course,Specific Required Course
6312510,English 3,Language Course,General Education Course 
6312510,ASEAN Studies,Social Science Course,General Education Course 
6312510,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6312510,Data Structures and Algorithms,Major Required Course,Specific Required Course
6312510,Industrial Management,Major Required Course,Specific Required Course
6312510,Principles of Crop Produces,Major Elective Course,Major Elective Course
6312510,Management Information Systems,Major Required Course,Specific Required Course
6312510,Web Programming,Core Course,Specific Required Course
6312510,System Analysis and Design,Major Required Course,Specific Required Course
6312510,Seminar,Major Required Course,Specific Required Course
6312510,Business Modeling and Simulation,Major Required Course,Specific Required Course
6312510,Information Technology Project Management,Major Required Course,Specific Required Course
6312510,Information Security,Core Course,Specific Required Course
6312510,Senior Project 1,Major Required Course,Specific Required Course
6312510,Information Technology Service Management,Major Required Course,Specific Required Course
6312510,Business Information System Design,Major Required Course,Specific Required Course
6312510,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6312510,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6312510,Digital Marketing,Major Required Course,Specific Required Course
6312510,Web Design and Development,Major Elective Course,Specific Required Course
6312510,Senior Project 2,Major Required Course,Specific Required Course
6312510,Co-operative Education,Major Required Course,Specific Required Course
6312810,Computer Programming,Core Course,Specific Required Course
6312810,Basic Information Technology,Science and Mathematics Course,General Education Course 
6312810,Mathematics for Information Technology 1,Core Course,Specific Required Course
